Movie,Actor,Genres
Witness for the Prosecution,Flowers Bess,"Crime, Drama, Mystery, Thriller"
To Catch a Thief,Flowers Bess,"Mystery, Romance, Thriller"
The Man Who Knew Too Much,"Flowers Bess,Drama, Thriller"
Double Indemnity,Flowers Bess,"Crime, Drama, Film-Noir, Mystery, Thriller"
All About Eve,Flowers Bess,"Drama"
The Manchurian Candidate,Flowers Bess,"Drama, Thriller"
Rear Window,Flowers Bess,"Mystery, Thriller"
Notorious,Flowers Bess,"Drama,Film-Noir, Romance, Thriller"
Singin in the Rain,Flowers Bess,"Comedy, Musical, Romance"
North by Northwest,Flowers Bess,"Adventure, "Mystery, Thriller"
It Happened One Night,Flowers Bess,"Comedy, Romance"
The Big Sleep,Flowers Bess,"Crime, Film-Noir,"Mystery, Thriller"
Vertigo,Flowers Bess,"Mystery, Romance, Thriller"
Dial M for Murder,Flowers Bess,"Crime, Thriller"
North by Northwest,Hitchcock Alfred,"Adventure, Mystery, Thriller"
Dial M for Murder,Hitchcock Alfred,"Crime, Thriller"
Vertigo,Hitchcock Alfred,"Mystery, Romance, Thriller"
Rear Window,Hitchcock Alfred,Mystery, "Thriller"
Notorious,Hitchcock Alfred,"Drama, Film-Noir, Romance, Thriller"
The Man Who Knew Too Much,Hitchcock Alfred,"Drama, Thriller"
To Catch a Thief,Hitchcock Alfred,"Mystery, Romance, Thriller"
Rebecca,Hitchcock Alfred,"Drama, Mystery, Romance, Thriller"
Rope,Hitchcock Alfred,"Crime, Drama, Mystery, Thriller"
Shadow of a Doubt,Hitchcock Alfred,"Film-Noir, Thriller"
Strangers on a Train,Hitchcock Alfred,"Crime, Film-Noir, Thriller"
The 39 Steps,Hitchcock Alfred,"Crime, Mystery, Thriller"
The Birds,Hitchcock Alfred,"Drama, Horror, Mystery, Romance"
The Lady Vanishes,Hitchcock Alfred,"Mystery, Thriller"
Psycho,Hitchcock Alfred,"Horror, Mystery, Thriller"
A Bronx Tale,De Niro Robert,"Crime, Drama, Romance"
Angel Heart,De Niro Robert,"Horror, Mystery, Thriller"
Awakenings,De Niro Robert,"Biography, Drama"
Brazil,De Niro Robert,"Drama, Sci-Fi"
Cape Fear,De Niro Robert,"Crime, Thriller"
Casino,De Niro Robert,"Crime, Drama"
Goodfellas,De Niro Robert,"Biography, Crime, Drama"
Heat,De Niro Robert,"Crime, Drama, Thriller"
Jackie Brown,De Niro Robert,"Crime, Drama, Thriller"
Limitless,De Niro Robert,"Sci-Fi, Thriller"
Mean Streets,De Niro Robert,"Crime, Drama, Thriller"
Midnight Run,De Niro Robert,"Action, Comedy, Crime, Thriller"
Once Upon a Time in America,De Niro Robert,"Crime, Drama"
Raging Bull,De Niro Robert,"Biography, Drama, Sport"
Ronin,De Niro Robert,"Action, Crime, Thriller"
Silver Linings Playbook,De Niro Robert,"Comedy, Drama, Romance"
Sleepers,De Niro Robert,"Crime, Drama, Thriller"
Stardust,De Niro Robert,"Adventure, Family, Fantasy, Romance"
Taxi Driver,De Niro Robert,"Crime, Drama"
The Deer Hunter,De Niro Robert,"Drama, War"
The Godfather: Part II,De Niro Robert,"Crime, Drama"
The King of Comedy,De Niro Robert,"Comedy, Crime, Drama, Thriller"
The Mission,De Niro Robert,"Adventure, Drama, History"
The Untouchables,De Niro Robert,"Crime, Drama, Thriller"
