Movie;Actor;Genres
A Bronx Tale;De Niro Robert;Crime, Drama, Romance
Angel Heart;De Niro Robert;Horror, Mystery, Thriller
Awakenings;De Niro Robert;Biography, Drama
Brazil;De Niro Robert;Drama, SciFi
Cape Fear;De Niro Robert;Crime, Thriller
Casino;De Niro Robert;Crime, Drama
Goodfellas;De Niro Robert;Biography, Crime, Drama
Heat;De Niro Robert;Crime, Drama, Thriller
Jackie Brown;De Niro Robert;Crime, Drama, Thriller
Limitless;De Niro Robert;SciFi, Thriller
Mean Streets;De Niro Robert;Crime, Drama, Thriller
Midnight Run;De Niro Robert;Action, Comedy, Crime, Thriller
Once Upon a Time in America;De Niro Robert;Crime, Drama
Raging Bull;De Niro Robert;Biography, Drama, Sport
Ronin;De Niro Robert;Action, Crime, Thriller
Silver Linings Playbook;De Niro Robert;Comedy, Drama, Romance
Sleepers;De Niro Robert;Crime, Drama, Thriller
Stardust;De Niro Robert;Adventure, Family, Fantasy, Romance
Taxi Driver;De Niro Robert;Crime, Drama
The Deer Hunter;De Niro Robert;Drama, War
The Godfather: Part II;De Niro Robert;Crime, Drama
The King of Comedy;De Niro Robert;Comedy, Crime, Drama, Thriller
The Mission;De Niro Robert;Adventure, Drama, History
The Untouchables;De Niro Robert;Crime, Drama, Thriller
The Shawshank Redemption;Freeman Morgan;Drama
The Dark Knight;Freeman Morgan;Action, Crime, Drama, Thriller
Se7en;Freeman Morgan;Crime, Drama, Mystery, Thriller
The Dark Knight Rises;Freeman Morgan;Action, Adventure
Unforgiven;Freeman Morgan;Drama, Western
Batman Begins;Freeman Morgan;Action, Adventure
Million Dollar Baby;Freeman Morgan;Drama, Sport
Glory;Freeman Morgan;Biography, Drama, History, War
Gone Baby Gone;Freeman Morgan;Crime, Drama, Mystery, Thriller
Lucky Number Slevin;Freeman Morgan;Crime, Drama, Thriller
Now You See Me;Freeman Morgan;Crime, Mystery, Thriller
Driving Miss Daisy;Freeman Morgan;Drama
The Bucket List;Freeman Morgan;Adventure, Comedy, Drama
Invictus;Freeman Morgan;Biography, Drama, History, Sport
Casablanca;Corrado Gino;Drama, Romance, War
Citizen Kane;Corrado Gino;Drama, Mystery
The Great Dictator;Corrado Gino;Comedy, Drama, War
Mr. Smith Goes to Washington;Corrado Gino;Comedy, Drama
Rebecca;Corrado Gino;Drama, Mystery, Romance, Thriller
The Grapes of Wrath;Corrado Gino;Drama, History
Gone with the Wind;Corrado Gino;Drama, History, Romance, War
Harvey;Corrado Gino;Comedy, Drama, Fantasy
The Dark Knight;Oldman Gary;Action, Crime, Drama, Thriller
The Dark Knight Rises;Oldman Gary;Action, Adventure
Batman Begins;Oldman Gary;Action, Adventure
Harry Potter and the Deathly Hallows: Part 2;Oldman Gary;Adventure, Drama, Fantasy, Mystery
JFK;Oldman Gary;Drama, History, Thriller
True Romance;Oldman Gary;Crime, Drama, Romance, Thriller
Harry Potter and the Prisoner of Azkaban;Oldman Gary;Adventure, Family, Fantasy, Mystery
The Fifth Element;Oldman Gary;Action, Adventure, SciFi
Harry Potter and the Goblet of Fire;Oldman Gary;Adventure, Family, Fantasy, Mystery
Dracula;Oldman Gary;Horror
Harry Potter and the Order of the Phoenix;Oldman Gary;Action, Adventure, Family, Fantasy, Mystery
Kung Fu Panda 2;Oldman Gary;Animation, Action, Adventure, Comedy, Family, Fantasy
Lawless;Oldman Gary;Crime, Drama
