Position;Title;Year;Genres
1;The Shawshank Redemption;1994;Drama
2;The Godfather;1972;Crime, Drama
3;The Godfather: Part II;1974;Crime, Drama
4;The Dark Knight;2008;Action, Crime, Drama, Thriller
5;Pulp Fiction;1994;Crime, Drama
6;Il buono, il brutto, il cattivo;1966;Western
7;12 Angry Men;1957;Crime, Drama
8;Schindler's List;1993;Biography, Drama, History
9;The Lord of the Rings: The Return of the King;2003;Action, Adventure, Drama, Fantasy
10;Fight Club;1999;Drama
11;The Lord of the Rings: The Fellowship of the Ring;2001;Action, Adventure, Drama, Fantasy
12;Star Wars: Episode V - The Empire Strikes Back;1980;Action, Adventure, Fantasy, Sci-Fi
13;Inception;2010;Action, Adventure, Sci-Fi, Thriller
14;One Flew Over the Cuckoo's Nest;1975;Drama
15;Shichinin no samurai;1954;Action, Adventure, Drama
16;Goodfellas;1990;Biography, Crime, Drama
17;Star Wars;1977;Action, Adventure, Fantasy, Sci-Fi
18;Forrest Gump;1994;Drama, Romance
19;The Lord of the Rings: The Two Towers;2002;Action, Adventure, Drama, Fantasy
20;The Matrix;1999;Action, Sci-Fi
21;Cidade de Deus;2002;Crime, Drama
22;C'era una volta il West;1968;Western
23;Casablanca;1942;Drama, Romance, War
24;Se7en;1995;Crime, Drama, Mystery, Thriller
25;The Usual Suspects;1995;Crime, Mystery, Thriller
26;The Silence of the Lambs;1991;Crime, Drama, Thriller
27;It's a Wonderful Life;1946;Drama, Family, Fantasy
28;Rear Window;1954;Mystery, Thriller
29;Raiders of the Lost Ark;1981;Action, Adventure
30;LÈon;1994;Action, Crime, Drama, Thriller
31;Psycho;1960;Horror, Mystery, Thriller
32;Sunset Blvd.;1950;Drama, Film-Noir
33;City Lights;1931;Comedy, Drama, Romance
34;The Dark Knight Rises;2012;Action, Adventure
35;American History X;1998;Drama
36;Apocalypse Now;1979;Drama, Mystery, War
37;Memento;2000;Mystery, Thriller
38;Sen to Chihiro no kamikakushi;2001;Animation, Adventure, Family, Fantasy, Mystery
39;Modern Times;1936;Comedy, Drama, Family, Romance
40;Saving Private Ryan;1998;Drama, War
41;Terminator 2: Judgment Day;1991;Action, Sci-Fi
42;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;Comedy
43;Intouchables;2011;Biography, Comedy, Drama
44;Alien;1979;Horror, Sci-Fi
45;Django Unchained;2012;Drama, Western
46;North by Northwest;1959;Adventure, Mystery, Thriller
47;La vita Ë bella;1997;Comedy, Drama, Romance, War
48;M - Eine Stadt sucht einen Mˆrder;1931;Crime, Mystery, Thriller
49;Paths of Glory;1957;Drama, War
50;Citizen Kane;1941;Drama, Mystery
51;Back to the Future;1985;Adventure, Comedy, Sci-Fi
52;Double Indemnity;1944;Crime, Drama, Film-Noir, Mystery, Thriller
53;The Pianist;2002;Biography, Drama, Music, War
54;The Departed;2006;Crime, Drama, Thriller
55;The Shining;1980;Drama, Horror
56;Vertigo;1958;Mystery, Romance, Thriller
57;The Great Dictator;1940;Comedy, Drama, War
58;Das Leben der Anderen;2006;Drama, Mystery, Thriller
59;Gladiator;2000;Action, Adventure, Drama
60;Aliens;1986;Action, Adventure, Sci-Fi, Thriller
61;American Beauty;1999;Drama
62;The Green Mile;1999;Crime, Drama, Fantasy, Mystery
63;WALL∑E;2008;Animation, Adventure, Family, Romance, Sci-Fi
64;Toy Story 3;2010;Animation, Adventure, Comedy, Family, Fantasy
65;Taxi Driver;1976;Crime, Drama
66;Le fabuleux destin d'AmÈlie Poulain;2001;Comedy, Romance
67;Jodaeiye Nader az Simin;2011;Drama
68;The Prestige;2006;Drama, Mystery, Sci-Fi, Thriller
69;Nuovo Cinema Paradiso;1988;Drama, Romance
70;Lawrence of Arabia;1962;Adventure, Biography, Drama, History, War
71;A Clockwork Orange;1971;Crime, Drama, Sci-Fi
72;To Kill a Mockingbird;1962;Crime, Drama
73;Das Boot;1981;Adventure, Drama, Thriller, War
74;The Treasure of the Sierra Madre;1948;Adventure, Drama, Western
75;The Third Man;1949;Film-Noir, Mystery, Thriller
76;Reservoir Dogs;1992;Crime, Drama, Thriller
77;The Lion King;1994;Animation, Adventure, Drama, Family, Musical
78;Requiem for a Dream;2000;Drama
79;Once Upon a Time in America;1984;Crime, Drama
80;Eternal Sunshine of the Spotless Mind;2004;Drama, Romance, Sci-Fi
81;Ladri di biciclette;1948;Drama
82;Hotaru no haka;1988;Animation, Drama, War
83;Witness for the Prosecution;1957;Crime, Drama, Mystery, Thriller
84;Singin' in the Rain;1952;Comedy, Musical, Romance
85;Mononoke-hime;1997;Animation, Action, Adventure, Fantasy
86;Braveheart;1995;Biography, Drama, History, War
87;Star Wars: Episode VI - Return of the Jedi;1983;Action, Adventure, Fantasy, Sci-Fi
88;All About Eve;1950;Drama
89;Oldeuboi;2003;Action, Drama, Mystery, Thriller
90;Rashomon;1950;Crime, Drama, Mystery
91;Metropolis;1927;Drama, Sci-Fi
92;Full Metal Jacket;1987;Drama, War
93;Monty Python and the Holy Grail;1975;Adventure, Comedy, Fantasy
94;Some Like It Hot;1959;Comedy, Music, Romance
95;Chinatown;1974;Drama, Mystery, Thriller
96;The Apartment;1960;Comedy, Drama, Romance
97;L.A. Confidential;1997;Crime, Drama, Mystery, Thriller
98;Amadeus;1984;Biography, Drama, History, Music
